Date,Open,High,Low,Close,Adj Close,Volume
2007-01-02,6614.729980,6682.810059,6614.729980,6681.129883,6681.129883,70947800
2007-01-03,6681.229980,6704.040039,6667.580078,6691.319824,6691.319824,105913800
2007-01-04,6662.240234,6684.109863,6634.740234,6674.399902,6674.399902,143461600
2007-01-05,6661.899902,6665.509766,6588.029785,6593.089844,6593.089844,142562500
2007-01-08,6603.549805,6628.359863,6579.899902,6607.589844,6607.589844,116670200
2007-01-09,6625.279785,6665.910156,6606.870117,6614.370117,6614.370117,136073800
2007-01-10,6578.759766,6592.970215,6531.250000,6566.560059,6566.560059,148877600
2007-01-11,6590.740234,6695.740234,6571.589844,6687.299805,6687.299805,156016900
2007-01-12,6690.430176,6705.169922,6659.950195,6705.169922,6705.169922,148199100
2007-01-15,6719.529785,6746.299805,6719.529785,6731.740234,6731.740234,87570000
2007-01-16,6735.830078,6746.629883,6705.209961,6716.819824,6716.819824,97704600
2007-01-17,6716.669922,6732.310059,6672.759766,6701.700195,6701.700195,125633400
2007-01-18,6721.089844,6737.979980,6661.049805,6689.620117,6689.620117,146033600
2007-01-19,6678.810059,6754.549805,6651.680176,6747.169922,6747.169922,172199100
2007-01-22,6753.729980,6766.569824,6682.490234,6687.310059,6687.310059,125663200
2007-01-23,6692.830078,6704.359863,6627.959961,6678.930176,6678.930176,128913100
2007-01-24,6692.649902,6759.950195,6681.660156,6748.370117,6748.370117,168589400
2007-01-25,6743.430176,6771.419922,6703.899902,6719.580078,6719.580078,169103400
2007-01-26,6690.290039,6731.359863,6659.450195,6690.339844,6690.339844,133454500
2007-01-29,6702.450195,6739.500000,6683.379883,6726.009766,6726.009766,194267100
2007-01-30,6719.970215,6801.270020,6711.049805,6788.229980,6788.229980,137154600
2007-01-31,6772.830078,6805.089844,6758.850098,6789.109863,6789.109863,160158900
2007-02-01,6821.310059,6874.770020,6820.580078,6851.279785,6851.279785,160415100
2007-02-02,6853.770020,6904.879883,6848.169922,6885.759766,6885.759766,138261300
2007-02-05,6878.669922,6891.129883,6864.189941,6874.060059,6874.060059,102908200
2007-02-06,6881.899902,6906.680176,6862.189941,6875.700195,6875.700195,122316500
2007-02-07,6886.009766,6924.459961,6885.080078,6915.560059,6915.560059,170726200
2007-02-08,6911.240234,6918.040039,6849.850098,6876.729980,6876.729980,135724800
2007-02-09,6890.649902,6928.979980,6890.640137,6911.109863,6911.109863,122616100
2007-02-12,6892.029785,6892.029785,6844.390137,6859.450195,6859.450195,106796800
2007-02-13,6868.680176,6895.520020,6866.069824,6895.339844,6895.339844,113530600
2007-02-14,6912.560059,6965.390137,6907.910156,6961.180176,6961.180176,155336100
2007-02-15,6958.140137,6972.439941,6942.250000,6958.620117,6958.620117,133808500
2007-02-16,6955.709961,6979.020020,6941.029785,6957.069824,6957.069824,123210100
2007-02-19,6967.529785,6996.009766,6965.910156,6987.080078,6987.080078,93275600
2007-02-20,6978.520020,6987.669922,6936.080078,6982.910156,6982.910156,121693100
2007-02-21,6999.180176,7005.339844,6922.359863,6941.660156,6941.660156,125000000
2007-02-22,6959.370117,7012.339844,6955.569824,6973.729980,6973.729980,158196800
2007-02-23,6986.069824,6998.270020,6964.500000,6992.580078,6992.580078,154215600
2007-02-26,6992.120117,7040.200195,6980.250000,7027.589844,7027.589844,145189500
2007-02-27,6988.339844,6988.339844,6814.569824,6819.649902,6819.649902,201984200
2007-02-28,6728.399902,6775.520020,6640.990234,6715.439941,6715.439941,275431600
2007-03-01,6714.250000,6756.250000,6544.279785,6640.240234,6640.240234,271483300
2007-03-02,6663.600098,6703.040039,6554.049805,6603.319824,6603.319824,221948200
2007-03-05,6510.950195,6563.450195,6437.250000,6534.569824,6534.569824,208920800
2007-03-06,6558.890137,6607.990234,6545.629883,6595.000000,6595.000000,156285300
2007-03-07,6605.899902,6633.870117,6584.470215,6617.750000,6617.750000,133108200
2007-03-08,6643.819824,6713.540039,6639.890137,6713.229980,6713.229980,152530300
2007-03-09,6706.450195,6745.060059,6665.729980,6716.520020,6716.520020,125513500
2007-03-12,6727.569824,6752.180176,6674.990234,6715.490234,6715.490234,114238400
2007-03-13,6716.350098,6722.830078,6623.990234,6623.990234,6623.990234,118494800
2007-03-14,6567.240234,6567.240234,6444.700195,6447.700195,6447.700195,208310100
2007-03-15,6495.850098,6594.330078,6495.839844,6585.470215,6585.470215,170294000
2007-03-16,6564.790039,6614.060059,6528.299805,6579.870117,6579.870117,315862600
2007-03-19,6622.759766,6677.339844,6614.140137,6671.410156,6671.410156,152479100
2007-03-20,6673.680176,6703.399902,6633.810059,6700.290039,6700.290039,158348200
2007-03-21,6696.250000,6729.649902,6688.339844,6712.060059,6712.060059,138560000
2007-03-22,6742.779785,6872.629883,6742.779785,6856.959961,6856.959961,180092400
2007-03-23,6859.000000,6902.620117,6828.220215,6899.060059,6899.060059,160262500
2007-03-26,6899.330078,6903.819824,6799.370117,6828.819824,6828.819824,136531900
2007-03-27,6838.319824,6885.339844,6838.319824,6858.339844,6858.339844,119846600
2007-03-28,6830.729980,6843.370117,6788.330078,6816.890137,6816.890137,121059000
2007-03-29,6834.089844,6903.479980,6834.089844,6897.080078,6897.080078,120422900
2007-03-30,6903.879883,6965.839844,6885.580078,6917.029785,6917.029785,120323800
2007-04-02,6911.129883,6945.359863,6891.799805,6937.169922,6937.169922,137571900
2007-04-03,6945.359863,7053.120117,6945.270020,7045.560059,7045.560059,166862300
2007-04-04,7072.509766,7076.209961,7038.490234,7073.910156,7073.910156,130160900
2007-04-05,7074.589844,7103.729980,7068.089844,7099.910156,7099.910156,80532000
2007-04-10,7102.470215,7172.080078,7090.689941,7166.669922,7166.669922,113331600
2007-04-11,7168.100098,7201.930176,7139.339844,7152.830078,7152.830078,117756400
2007-04-12,7150.830078,7152.379883,7087.290039,7142.950195,7142.950195,125189900
2007-04-13,7153.890137,7213.200195,7150.700195,7212.069824,7212.069824,129526600
2007-04-16,7229.060059,7340.250000,7229.060059,7338.060059,7338.060059,132126800
2007-04-17,7327.500000,7365.509766,7292.299805,7348.830078,7348.830078,125786200
2007-04-18,7341.250000,7341.250000,7243.419922,7282.339844,7282.339844,133569200
2007-04-19,7205.529785,7248.180176,7155.049805,7242.729980,7242.729980,132535400
2007-04-20,7257.339844,7366.589844,7253.029785,7342.540039,7342.540039,195999200
2007-04-23,7348.009766,7358.270020,7302.430176,7335.620117,7335.620117,14559100
2007-04-24,7342.080078,7342.080078,7218.720215,7270.319824,7270.319824,144275400
